time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
2.95000000,2.03074495,0.00000000,2.03074495,16,0.07076743
2.96666667,2.18494408,0.00000000,2.18494408,16,0.07076743
2.98333333,2.31891908,0.00000000,2.31891908,16,0.07076743
3.00000000,2.17798804,0.00000000,2.17798804,17,0.07076743
3.01666667,2.14627454,0.00000000,2.14627454,17,0.07076743
3.03333333,1.87907868,0.00000000,1.87907868,17,0.07076742
3.05000000,1.83611299,0.00000000,1.83611299,17,0.07076742
3.06666667,1.70142552,0.00000000,1.70142552,17,0.07076742
3.08333333,1.82661200,0.00000000,1.82661200,17,0.07076742
3.10000000,1.52761897,0.00000000,1.52761897,17,0.07076742
3.11666667,1.82868614,0.00000000,1.82868614,17,0.07076742
3.13333333,1.82182442,0.00000000,1.82182442,17,0.07076742
3.15000000,2.10068371,0.00000000,2.10068371,17,0.07076743
3.16666667,2.26191027,0.00000000,2.26191027,17,0.07076743
3.18333333,2.41083474,0.00000000,2.41083474,17,0.07076742
3.20000000,2.27378722,0.00000000,2.27378722,17,0.07076742
3.21666667,2.54174140,0.00000000,2.54174140,17,0.07076742
3.23333333,2.41831826,0.00000000,2.41831826,17,0.07076742
3.25000000,2.24750322,0.00000000,2.24750322,17,0.07076742
3.26666667,2.25349969,0.00000000,2.25349969,17,0.07076742
3.28333333,1.94720053,0.00000000,1.94720053,17,0.07076742
3.30000000,1.70878176,0.00000000,1.70878176,17,0.07076742
3.31666667,1.65417650,0.00000000,1.65417650,17,0.07076742
3.33333333,1.58911739,0.00000000,1.58911739,17,0.07076742
3.35000000,1.62618085,0.00000000,1.62618085,17,0.07076742
3.36666667,1.33793668,0.00000000,1.33793668,17,0.07076742
3.38333333,1.79508668,0.00000000,1.79508668,17,0.07076742
3.40000000,1.63382936,0.00000000,1.63382936,17,0.07076742
3.41666667,1.77157046,0.00000000,1.77157046,17,0.07076742
3.43333333,1.83919649,0.00000000,1.83919649,17,0.07076742
3.45000000,1.90570958,0.00000000,1.90570958,17,0.07076742
3.46666667,1.73776556,0.00000000,1.73776556,16,0.07076742
3.48333333,1.85683189,0.00000000,1.85683189,16,0.07076742
3.50000000,1.53076284,0.00000000,1.53076284,16,0.07076742
3.51666667,1.67459666,0.00000000,1.67459666,16,0.07076742
3.53333333,1.82783499,0.00000000,1.82783499,15,0.07076742
3.55000000,1.94692895,0.00000000,1.94692895,15,0.07076742
3.56666667,1.85364268,0.00000000,1.85364268,15,0.07076742
3.58333333,1.96823640,0.00000000,1.96823640,15,0.07076742
3.60000000,2.07227585,0.00000000,2.07227585,15,0.07076742
3.61666667,2.17452498,0.00000000,2.17452498,15,0.07076742
3.63333333,2.11788236,0.00000000,2.11788236,15,0.07076742
3.65000000,2.03418115,0.00000000,2.03418115,14,0.07076742
3.66666667,1.89373882,0.00000000,1.89373882,14,0.07076742
3.68333333,1.65523759,0.00000000,1.65523759,14,0.07076742
3.70000000,1.54596266,0.00000000,1.54596266,14,0.07076742
3.71666667,1.66836048,0.00000000,1.66836048,14,0.07076742
3.73333333,1.86764544,0.00000000,1.86764544,14,0.07076742
