time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
1.86666667,1497.27570343,164.57452965,1332.70124054,636,0.59157769
1.88333333,1416.83136749,141.59198093,1275.23937225,638,0.59419501
1.90000000,1296.29791260,122.40852499,1173.88934326,639,0.59644897
1.91666667,1112.33646774,103.13597012,1009.20038986,640,0.59833599
1.93333333,889.47869492,84.70127821,804.77733612,641,0.59987165
1.95000000,640.63360786,66.48143291,574.15213966,642,0.60106384
1.96666667,389.47778320,50.94446969,338.53331375,642,0.60196571
1.98333333,391.21667862,36.51651573,354.70020676,642,0.60261514
2.00000000,592.75968361,25.63262701,567.12698555,642,0.60307749
2.01666667,780.13448334,16.84033924,763.29400635,641,0.60338405
2.03333333,938.53038025,10.38488680,928.14552689,641,0.60357458
2.05000000,1058.80595016,5.26570773,1053.54019928,641,0.60367156
2.06666667,1116.46564484,1.98459674,1114.48101044,641,0.60370842
2.08333333,1123.91412354,0.65034467,1123.26393890,641,0.60372000
2.10000000,1071.71380615,0.05039350,1071.66339111,641,0.60372138
2.11666667,958.44598007,0.00000000,958.44604874,641,0.60372115
2.13333333,793.06145477,0.00000000,793.06157303,641,0.60372124
2.15000000,596.52260399,0.00000000,596.52263832,641,0.60372143
2.16666667,376.63543320,0.00000000,376.63543320,641,0.60372157
2.18333333,248.66236210,0.00000000,248.66234303,641,0.60372106
2.20000000,429.78516006,0.00000000,429.78516006,641,0.60372111
2.21666667,644.43271255,0.00000000,644.43270111,641,0.60372134
2.23333333,835.86689377,0.00000000,835.86692047,641,0.60372111
2.25000000,989.52956772,0.00000000,989.52959824,641,0.60372129
2.26666667,1094.51459503,0.00000000,1094.51452637,641,0.60372129
2.28333333,1137.01792908,0.00000000,1137.01792908,641,0.60372111
2.30000000,1106.97650909,0.00000000,1106.97650146,641,0.60372134
2.31666667,1021.66128159,0.00000000,1021.66136551,641,0.60372138
2.33333333,876.36016846,0.00000000,876.36021805,641,0.60372115
2.35000000,694.92545319,0.00000000,694.92549515,641,0.60372152
2.36666667,487.13375092,0.00000000,487.13376236,641,0.60372101
2.38333333,280.41005516,0.00000000,280.41003990,641,0.60372120
2.40000000,317.07518959,0.00000000,317.07516098,641,0.60372143
2.41666667,532.85199738,0.00000000,532.85205269,641,0.60372124
2.43333333,746.10602570,0.00000000,746.10601044,641,0.60372143
2.45000000,917.08808517,0.00000000,917.08805847,641,0.60372106
2.46666667,1043.49937439,0.00000000,1043.49936676,641,0.60372143
2.48333333,1111.39356995,0.00000000,1111.39352417,641,0.60372111
2.50000000,1124.41841125,0.00000000,1124.41841888,641,0.60372129
2.51666667,1070.90441132,0.00000000,1070.90440369,641,0.60372120
2.53333333,956.22941971,0.00000000,956.22943878,640,0.60372115
2.55000000,794.01542664,0.00000000,794.01538849,640,0.60372134
2.56666667,598.16394806,0.00000000,598.16398430,641,0.60372161
2.58333333,378.39180374,0.00000000,378.39178658,640,0.60372134
2.60000000,251.04010391,0.00000000,251.04010868,641,0.60372138
2.61666667,425.25234604,0.00000000,425.25241470,641,0.60372115
2.63333333,644.89562607,0.00000000,644.89559555,640,0.60372097
2.65000000,836.20480347,0.00000000,836.20484161,641,0.60372120
2.66666667,993.07377625,0.00000000,993.07373428,640,0.60372134
2.68333333,1096.55045319,0.00000000,1096.55027771,640,0.60372134
2.70000000,1135.55667114,0.00000000,1135.55677032,641,0.60372115
2.71666667,1110.84999084,0.00000000,1110.84991455,641,0.60372115
2.73333333,1019.95886993,0.00000000,1019.95895386,641,0.60372092
2.75000000,879.19102478,0.00000000,879.19113159,641,0.60372143
2.76666667,695.72999573,0.00000000,695.72990799,641,0.60372134
2.78333333,484.88747025,0.00000000,484.88744736,641,0.60372115
2.80000000,279.66590977,0.00000000,279.66592121,641,0.60372157
2.81666667,316.35401249,0.00000000,316.35399055,641,0.60372120
2.83333333,531.05118561,0.00000000,531.05119514,641,0.60372111
2.85000000,741.72309113,0.00000000,741.72306824,641,0.60372134
2.86666667,917.05865860,0.00000000,917.05859756,641,0.60372120
2.88333333,1045.54105759,0.00000000,1045.54101562,640,0.60372115
2.90000000,1113.25617981,0.00000000,1113.25611115,640,0.60372106
2.91666667,1120.35665131,0.00000000,1120.35671234,641,0.60372152
2.93333333,1070.12289429,0.00000000,1070.12294006,640,0.60372120
2.95000000,957.32802963,0.00000000,957.32807541,640,0.60372106
2.96666667,793.74016190,0.00000000,793.74022675,640,0.60372138
2.98333333,595.21951294,0.00000000,595.21956253,640,0.60372111
3.00000000,377.03074837,0.00000000,377.03073120,640,0.60372147
3.01666667,250.49220562,0.00000000,250.49221516,640,0.60372129
3.03333333,428.26812172,0.00000000,428.26810646,640,0.60372120
3.05000000,643.08323288,0.00000000,643.08320236,640,0.60372115
3.06666667,835.91170120,0.00000000,835.91173553,640,0.60372143
3.08333333,990.90008163,0.00000000,990.90002441,640,0.60372115
3.10000000,1095.53859711,0.00000000,1095.53859711,641,0.60372129
3.11666667,1137.58464813,0.00000000,1137.58465576,640,0.60372111
3.13333333,1111.14261627,0.00000000,1111.14259338,641,0.60372092
3.15000000,1020.53205872,0.00000000,1020.53203583,640,0.60372143
3.16666667,878.50487137,0.00000000,878.50485611,640,0.60372129
3.18333333,696.42014313,0.00000000,696.42016983,640,0.60372111
3.20000000,485.33398056,0.00000000,485.33398438,640,0.60372147
3.21666667,277.22296238,0.00000000,277.22295094,640,0.60372134
3.23333333,319.52813244,0.00000000,319.52814770,640,0.60372101
3.25000000,531.61601067,0.00000000,531.61605263,640,0.60372157
3.26666667,742.82801437,0.00000000,742.82808685,640,0.60372120
3.28333333,916.90437317,0.00000000,916.90441513,640,0.60372106
3.30000000,1039.59649277,0.00000000,1039.59650421,640,0.60372134
3.31666667,1113.84737396,0.00000000,1113.84738159,640,0.60372120
3.33333333,1121.04473114,0.00000000,1121.04471588,640,0.60372129
3.35000000,1070.44966125,0.00000000,1070.44951630,640,0.60372129
3.36666667,957.76742172,0.00000000,957.76749039,640,0.60372120
3.38333333,794.36336517,0.00000000,794.36335373,640,0.60372152
3.40000000,596.18522644,0.00000000,596.18525505,640,0.60372120
3.41666667,376.54703712,0.00000000,376.54701805,640,0.60372115
3.43333333,251.09008408,0.00000000,251.09007645,640,0.60372175
3.45000000,426.10253525,0.00000000,426.10252762,640,0.60372138
3.46666667,642.43469620,0.00000000,642.43471909,640,0.60372138
3.48333333,835.97647858,0.00000000,835.97644806,640,0.60372124
3.50000000,992.72376251,0.00000000,992.72390747,640,0.60372152
3.51666667,1095.30056000,0.00000000,1095.30052948,640,0.60372106
3.53333333,1137.44268036,0.00000000,1137.44261169,640,0.60372120
3.55000000,1111.16403961,0.00000000,1111.16405487,640,0.60372147
3.56666667,1020.41405869,0.00000000,1020.41408157,640,0.60372152
3.58333333,877.17310715,0.00000000,877.17309570,641,0.60372120
3.60000000,695.72891235,0.00000000,695.72895050,641,0.60372120
3.61666667,487.85725212,0.00000000,487.85721779,640,0.60372152
3.63333333,277.31667805,0.00000000,277.31668472,640,0.60372143
3.65000000,318.49007702,0.00000000,318.49009323,640,0.60372166
3.66666667,532.61732674,0.00000000,532.61730385,640,0.60372124
3.68333333,741.66562271,0.00000000,741.66560364,640,0.60372111
3.70000000,914.75142670,0.00000000,914.75148392,640,0.60372124
3.71666667,1041.78557205,0.00000000,1041.78561783,640,0.60372101
3.73333333,1112.90699005,0.00000000,1112.90708160,640,0.60372134
3.75000000,1121.79571533,0.00000000,1121.79570007,640,0.60372092
3.76666667,1069.00285339,0.00000000,1069.00267792,640,0.60372129
3.78333333,956.30723190,0.00000000,956.30719757,640,0.60372138
3.80000000,796.36605072,0.00000000,796.36600876,640,0.60372138
3.81666667,594.11112404,0.00000000,594.11108208,640,0.60372138
3.83333333,377.51370811,0.00000000,377.51368332,640,0.60372134
3.85000000,253.47297668,0.00000000,253.47297096,640,0.60372143
3.86666667,426.92473602,0.00000000,426.92475891,640,0.60372134
3.88333333,642.04169083,0.00000000,642.04172516,640,0.60372111
3.90000000,835.67932510,0.00000000,835.67940140,641,0.60372092
3.91666667,991.89373016,0.00000000,991.89367676,640,0.60372111
3.93333333,1096.54049683,0.00000000,1096.54052734,640,0.60372124
3.95000000,1134.60903931,0.00000000,1134.60902405,641,0.60372115
3.96666667,1111.45360565,0.00000000,1111.45355225,641,0.60372152
3.98333333,1019.45096588,0.00000000,1019.45091629,640,0.60372111
4.00000000,878.50823975,0.00000000,878.50831985,641,0.60372124
4.01666667,693.38935852,0.00000000,693.38938141,641,0.60372101
4.03333333,486.64591789,0.00000000,486.64592361,641,0.60372087
4.05000000,276.31919861,0.00000000,276.31919289,641,0.60372120
4.06666667,318.54831123,0.00000000,318.54831314,641,0.60372106
